stereo_(sound_system),365
stirrup,172
stool,5266
stop_sign,17261
stove,942
strainer,24
strap,30958
strawberry,681
street_light,29095
street_sign,25205
stretcher,5
studio_couch,84
stylus,2
submarine,4
submarine_sandwich,2
sugarcane_(plant),1
suit_(clothing),63351
suitcase,44996
sun_hat,1189
sunflower,1878
sunglasses,45602
surfboard,37291
sushi,112
suspenders,2035
swan,1277
sweatband,8
sweater,12813
sweatshirt,1180
sweet_potato,3
swim_cap,466
swimming_pool,9313
swimsuit,14989
sword,701
syringe,130
table,44850
table_tennis_racket,99
tablecloth,16690
tablet_computer,1407
tableware,125481
tachometer,70
taco,5
tag,13066
taillight,34061
tank,677
tank_(storage_vessel),2073
tank_top_(clothing),33101
tape_(sticky_cloth_or_paper),155
tapestry,21
tarp,2122
tart,14
tartan,31
tassel,1590
taxi,1699
tea,106
tea_bag,2
teacup,92
teakettle,7
teapot,316
teddy_bear,11712
telephone,93658
telephone_booth,129
telephone_pole,12636
television,150340
television_camera,171
tennis_ball,10507
tennis_racket,13037
tent,4093
thermos_bottle,103
thermostat,1309
thimble,3
thread,229
tiara,1784
tie,133399
tiger,282
tights_(clothing),26
timer,21
tinfoil,655
tinsel,217
tire,5811
tissue_paper,3171
toaster,500
toaster_oven,32
toilet,11065
toilet_paper,3104
tomato,1962
tongs,70
tool,97867
toolbox,13
toothbrush,34959
toothpaste,203
toothpick,83
tortilla,1
tortoise,419
tote_bag,46
tow_truck,1
towel,2632
towel_rack,2061
tower,13727
toy,123080
tractor_(farm_equipment),352
traffic_light,40511
traffic_sign,19779
trailer_truck,209
train,23717
trash_can,18083
tray,1144
treadmill,38
tree,382824
tree_house,4
tricycle,32
tripod,8244
trombone_(musical_instrument),109
trophy_cup,211
trousers,93123
truck,52057
trumpet_(musical_instrument),417
trunk,54
turkey,91
turnip,1
turtle,786
typewriter,91
umbrella,60836
underdrawers,77
underwear,1039
unicycle,493
urinal,484
urn,7
vacuum_cleaner,10
van,5596
vase,27590
vat,3
vegetable,10345
vehicle,465318
veil,7303
vending_machine,128
vent,18946
vest,29157
videotape,694
violin_(musical_instrument),1064
visor,1010
volleyball,160
vulture_(bird),8
waffle,15
wagon,859
